Fiscal Year,Event ID,Security Category Name,Public Event Name,Event Created Date,Event Date,Event Goal($),Active Registrations,Inactive Registrations,Total Fees Paid,Total of All Confirmed Gifts($),Total Online Gifts($),Teams,Captains,Average Team Size,Team pages with custom URL,Emails Sent,Personal pages with custom URL,Total Offline Confirmed Gifts($),Self Donors,Total From Participant($),Non-self Donors,Total Not From Participant($),Total Team Gifts($),Total Event Gifts($),Total Offline Unconfirmed Gifts($),Street Address,City,State,Zip Code,Internal Event Name,Previous Event ID
2013,20362,MOS Bike Events,MOS Bike MS 2013,10/2/2012 11:18,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,MO,,MOS Bike MS 2013,0
2016,27053,MOS Bike Events,Bike MS Gateway Getaway Ride 2016 Presented by Express Scripts,9/15/2015 15:59,9/10/2016 8:30,2300000,1896,328,52098.2,1532826.29,1005924.12,144,152,12,27,66406,250,526902.17,1147,377814.05,1077,1283873.91,63467.55,112705.8,121798.67,5800 Godfrey Rd.,Godfrey,IL,62035,MOS 2016 Bike MS: Express Scripts Gateway Getaway Ride 2016,25028
2014,21768,MOS Bike Events,MOS Bike MS 2014,4/1/2013 8:09,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MOS Bike MS 2014 OLD,0
2014,21910,NCC Bike Events,NCC Bike MS 2014,4/10/2013 12:16,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NCC Bike MS 2014,0
2013,21437,NCC Bike Events,Bike MS: Gears and Cheers 2013,1/23/2013 11:08,5/4/2013 14:35,23500,407,0,14670,4038,3578,10,10,6,0,62,2,460,43,2223,364,2355,690,0,540,7360 Brooks Bridge Rd,Gibsonville,NC,27249,NCC 2013 Bike MS Gears and Cheers,18714
2014,21769,NCC Bike Events,NCC Bike MS 2014,4/1/2013 8:09,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NCC Bike MS 2014 OLD,0
2013,21098,NCC Bike Events,NCC 2013 Bike MS: Tour to Tanglewood,11/28/2012 12:46,9/28/2013 16:55,1025000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4061 Clemmons Road,Clemmons,NC,27012,NCC 2013 Bike MS: Tour to Tanglewood,0
2013,21238,NCC Bike Events,2013 Bike MS Tour to Tanglewood,12/13/2012 16:08,9/28/2013 14:50,1025000,1838,3,29620,795137.6,405682.17,93,100,14,6,33585,42,389455.43,784,146341.27,1057,652329.16,5044,7140.18,2434.33,4061 Clemmons Road,Clemmons,NC,27012,NCC 2013 Bike MS Tour to Tanglewood,18586
2013,20363,NCC Bike Events,NCC Bike MS 2013,10/2/2012 11:18,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,NC,,NCC Bike MS 2013,0
2014,21911,NCT Bike Events,NCT Bike MS 2014,4/10/2013 12:16,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NCT Bike MS 2014,0
2013,20364,NCT Bike Events,NCT Bike MS 2013,10/2/2012 11:18,9/7/2013 13:57,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,NC,,NCT Bike MS 2013,0
2014,21770,NCT Bike Events,NCT Bike MS 2014,4/1/2013 8:09,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NCT Bike MS 2014 OLD,0
2017,28275,NCT Bike Events,Bike MS: Tour to Tanglewood 2017,9/7/2016 16:41,9/16/2017 17:29,950000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4061 Clemmons Road,Clemmons,NC,27012,NCT 2017 Bike MS: Tour to Tanglewood --  DO NOT USE,27694
2017,28283,NCT Bike Events,Bike MS: Tour to Tanglewood 2017,9/8/2016 17:14,9/16/2017 12:06,950000,897,9,19686.5,726511.39,451744.47,66,70,11,16,15352,93,274766.92,461,150705.75,445,648316.75,7692.73,44267,49484.11,4061 Clemmons Road,Clemmons,NC,27012,NCT 2017 Bike MS: Tour to Tanglewood,27694
2016,27695,NCT Bike Events,Bike MS: Historic New Bern Ride 2016,11/9/2015 9:50,9/10/2016 10:28,1950000,2456,24,61861.96,1580033.93,1104023.47,131,152,14,29,79763,281,476010.46,1054,274304.01,1426,1420992.14,59493,55528.36,78576.42,,New Bern,NC,28560,NCT 2016 Bike MS: Historic New Bern Ride,25674
2015,25838,NCT Bike Events,Bike MS: Tour to Tanglewood 2015,11/19/2014 13:33,9/19/2015 14:47,1000000,1170,10,27155.96,775561.15,423030.02,67,76,13,5,19821,59,352531.13,495,142226.4,685,661310.6,20703.34,33039.5,26950.85,4061 Clemmons Road,Clemmons,NC,27012,NCT 2015 Bike MS: Tour to Tanglewood,23796
2017,27693,NCT Bike Events,Bike MS: Breakaway to the Beach 2016,11/9/2015 9:43,10/8/2016 13:10,450000,526,5,12950.36,269728.27,173448.69,47,51,6,0,8286,0,96279.58,201,38446.37,330,236936.9,11955,5010,5515,75A Clubhouse Road,Sunset Beach,NC,28424,NCT 2016 Bike MS: Breakaway to the Beach,25916
2014,23796,NCT Bike Events,Bike MS: Tour to Tanglewood 2014,12/9/2013 11:09,9/27/2014 15:13,1025000,1770,7,35537.5,809838.87,447162.04,86,97,15,5,21279,54,362676.83,726,143196.33,1051,676477.54,9149.5,13235.35,7020,4061 Clemmons Road,Clemmons,NC,27012,NCT 2014 Bike MS: Tour to Tanglewood,21238
2013,20796,NCT Bike Events,Bike MS: Breakaway to the Beach 2013,10/30/2012 9:30,9/21/2013 9:01,1000000,792,219,31000,665951.76,419666.86,72,84,7,4,25093,77,246284.9,401,84542.95,610,605772.56,7143.6,16954.82,22528.75,,Charlotte,NC,29067,Bike MS: Breakaway to the Beach 2013,18227
2015,23842,NCT Bike Events,Bike MS: Breakaway to the Beach 2014,12/20/2013 14:36,10/18/2014 12:07,585000,697,4,20040,409182.48,244926.14,53,55,7,3,16253,42,164256.34,256,51842,445,362390.48,9035,1328,3825,,Sunset Beach,NC,28468,NCT 2014 Bike MS: Breakaway to the Beach,20796
2017,28911,NCT Bike Events,Bike MS: Historic New Bern Ride 2017,11/8/2016 12:07,9/9/2017 13:51,1900000,2188,40,65653.5,1557207.02,1113022.82,143,159,12,33,49920,295,444184.2,1148,302236.56,1080,1406450.68,60859.08,85488.79,105671.05,,New Bern,NC,28560,NCT 2017 Bike MS: Historic New Bern Ride,27695
2014,23481,NCT Bike Events,Bike MS: Historic New Bern Ride 2014,10/25/2013 14:06,9/6/2014 15:14,1865000,2169,7,71785,1584338.83,1108795.97,133,149,13,12,67608,131,475542.86,1012,229478.28,1164,1443121.55,125601.57,9618,86206,210 E. Front Street,New Bern,NC,28560,NCT 2014 Bike MS: Historic New Bern Ride,20780
2015,25674,NCT Bike Events,Bike MS: Historic New Bern Ride 2015,11/3/2014 14:35,9/12/2015 13:57,1865000,2299,27,60122.52,1584094.53,1069907.66,129,147,12,10,61493,151,514186.87,933,245435.07,1393,1386961.46,85369.06,27098,46485,210 E. Front Street,New Bern,NC,,NCT 2015 Bike MS: Historic New Bern Ride,23481
2016,25916,NCT Bike Events,Bike MS: Breakaway to the Beach 2015,12/8/2014 8:56,10/17/2015 15:10,535000,561,16,18274.28,359001.15,214776.35,52,58,6,4,10032,44,144224.8,255,64940.57,322,307416.58,2689,11255,10030,75A Clubhouse Road,Sunset Beach,NC,28424,NCT 2015 Bike MS: Breakaway to the Beach,23842
2013,20780,NCT Bike Events,Bike MS 2013: Historic New Bern Ride,10/29/2012 11:04,9/7/2013 14:49,1800000,2115,280,68698,1599407.52,1061756.15,149,165,11,16,64742,116,537651.37,968,228880.46,1427,1421916.06,56005.47,16314.18,37130,210 East Front Street,New Bern,NC,28560,"New Bern, NC - Bike MS 2013",18145
2014,23948,NCT Bike Events,Bike MS: Gears and Cheers 2014,1/27/2014 13:23,5/3/2014 17:02,18500,441,1,15580,4245,3415,12,12,6,0,13,1,830,45,2560,397,1785,200,660,100,7360 Brooks Bridge Road,Gibsonville,NC,27249,NCT 2014 Bike MS: Gears and Cheers,21437
2016,27694,NCT Bike Events,Bike MS: Tour to Tanglewood 2016,11/9/2015 9:50,9/17/2016 14:52,950000,1150,14,24418.44,748500.49,439180.76,74,78,11,14,16903,82,309319.73,492,163838.29,672,633211.82,3590.5,41938.99,40835.4,4061 Clemmons Road,Clemmons,NC,27012,NCT 2016 Bike MS: Tour to Tanglewood,25838
2016,27696,NJM Bike Events,Bike MS: Coast the Coast 2016,11/9/2015 9:55,5/21/2016 12:31,900000,1271,7,34602.5,673452.42,464504.9,134,144,6,0,34456,0,208947.52,625,123124.23,653,601404.19,13206.5,31901,42189,Palmer Ave,West Long Branch,NJ,7764,NJM 2016 Bike  MS: Coast the Coast,25596
2014,24169,NJM Bike Events,"New Jersey, Lambertville - Hops to Hops Bike MS 2014",4/1/2014 19:55,9/14/2014 20:24,120000,286,17,7191.04,74733.64,47821.59,36,36,5,2,3606,3,26912.05,121,18270,182,56925.64,3845,787.05,462,9 Rocktown Road,Ringoes,NJ,,"New Jersey, Lambertville - Hops to Hops Bike MS 2014",21706
2013,20717,NJM Bike Events,"New Jersey, Oakhurst - Coast the Coast Bike MS 2013",10/24/2012 13:53,5/18/2013 10:04,1050000,1711,27,52822.5,906503,518782.58,151,159,8,13,33675,49,387720.42,989,200392.76,749,710331.24,12119.12,6495,3737,400 Cedar Avenue,West Long Branch,NJ,7764,"New Jersey, Oakhurst - Coast the Coast Bike MS 2013",17891
2013,21296,NJM Bike Events,"New Jersey, Morristown - Bike MS 2013",12/21/2012 10:15,9/21/2013 13:38,500000,532,11,15440,498008.18,267354.17,64,67,6,5,15850,15,230654.01,254,75739.17,289,425400.01,14631,5621,2756,475 South Street,Morristown,NJ,7960,"New Jersey, Morristown - Bike MS 2013",18764
2013,21706,NJM Bike Events,"New Jersey, Lambertville - Hops to Hops Bike MS 2013",3/21/2013 8:35,9/15/2013 8:48,125000,304,2,8935,100668.6,66150,31,33,5,5,3514,11,34518.6,169,25675,137,75063.6,3655,921,70,11 Bridge Street,Lambertville,NJ,8530,"New Jersey, Lambertville - Hops to Hops Bike MS 2013",18614
2015,25928,NJM Bike Events, Bike MS : Country Challenge 2015,12/12/2014 11:00,9/19/2015 19:34,500000,356,6,7509.5,342462.65,170162.51,39,41,5,0,15197,0,172300.14,133,29164,229,327218.65,13388,10971,13535,475 South Street,Morristown,NJ,7960,NJM 2015 Bike MS : Country Challenge,24206
2014,23412,NJM Bike Events,"New Jersey, Oakhurst - Coast the Coast Bike MS 2014",10/22/2013 13:22,5/17/2014 14:03,1025000,1570,19,49273,871869.67,527255.97,153,158,7,10,32881,58,344613.7,762,126735.29,827,759607.38,17307.17,14422.64,12583,400 Cedar Avenue,West Long Branch,NJ,7764,"New Jersey, Oakhurst - Coast the Coast Bike MS 2014",20717
2017,28897,NJM Bike Events,Bike MS: Coast the Coast 2017,10/19/2016 14:32,5/20/2017 9:07,800000,858,11,20027.5,618288.69,414790.99,118,115,4,17,23400,92,203497.7,450,105539.96,419,551550.73,19382.18,37673.49,37167,400 Cedar Ave,West Long Branch,NJ,7764,NJM 2017 Bike MS: Coast the Coast,27696
2014,24206,NJM Bike Events,"New Jersey, Morristown - Country Challenge Bike MS 2014",4/11/2014 13:24,9/20/2014 11:21,650000,428,18,15587.96,440042.19,203347.5,47,49,6,7,10924,22,236694.69,163,40487.19,283,401915,9490,2890.5,2040,475 South Street,Morristown,NJ,7962,"New Jersey, Morristown - Country Challenge Bike MS 2014",21296
2013,21410,NJM Bike Events,NJM -  2013 MS Great 8 Tour Du Lac,1/18/2013 11:08,8/4/2013 16:08,200000,3,0,0,20,20,1,1,3,0,336,0,0,0,0,3,20,0,0,0,,,None,,NJM -  2013 MS Great 8 Tour Du Lac,18657
2014,23834,NJM Bike Events,NJM - 2014 MS Great 8 - Beach to Beach Tour,12/19/2013 15:38,10/6/2014 10:39,200000,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,None,,NJM - 2014 MS Great 8 - Beach to Beach Tour,21410
2014,21912,NJM Bike Events,NJM Bike MS 2014,4/10/2013 12:16,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NJM Bike MS 2014,0
2014,21771,NJM Bike Events,NJM Bike MS 2014,4/1/2013 8:09,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NJM Bike MS 2014 OLD,0
2013,20716,NJM Bike Events,"New Jersey, Paramus - bike MS 2013",10/24/2012 13:51,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445 South Street,Morristown,NJ,7960,"New Jersey, Paramus - bike MS 2013",0
2013,20365,NJM Bike Events,NJM Bike MS 2013,10/2/2012 11:18,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,NJ,,NJM Bike MS 2013,0
2017,29036,NJM Bike Events,Bike MS: Country Challenge 2017,1/3/2017 9:10,9/16/2017 13:40,400000,353,3,7265,278649.99,155105.99,45,46,4,12,4298,32,123544,129,21320.22,227,287526.77,6615,1950,10284,1 Convent Road,Morristown,NJ,7960,NJM 2017 Bike MS: Country Challenge,27707
2015,25596,NJM Bike Events,Bike MS: Coast the Coast 2015,10/29/2014 10:34,5/16/2015 9:23,1025000,1298,14,43365.7,732916.78,489211.3,122,130,7,0,28285,0,243705.48,583,119893.67,729,651081.11,25834.5,33057,35258,Palmer Ave,West Long Branch,NJ,7764,"NJM New Jersey, Oakhurst - Bike MS: Coast the Coast 2015",23412
2015,25877,NJM Bike Events,Bike MS: Barrels and Brews 2015,11/26/2014 10:18,9/13/2015 10:33,125000,217,1,6080.1,68019.82,51516.5,26,28,5,0,7957,0,16503.32,81,14400,137,57044.82,920,4128.32,3175,9 Rocktown Road ,Ringoes,NJ,8551,NJM Bike 2015: Barrels and Brews,24169
2013,19203,NJM Bike Events,Coast the Coast Bike MS 2013-old,5/11/2012 6:49,5/18/2013 9:16,1000100,132,0,3930,1334,474,15,15,3,0,75,0,860,6,399,126,935,0,0,0,400 Cedar Ave.,West Long Branch,NJ,7764,Coast the Coast Bike MS 2013- DO NOT USE,0
2016,27707,NJM Bike Events,Bike MS: Country Challenge 2016,11/10/2015 12:16,9/17/2016 13:59,400000,460,7,10850,335761.24,177740.62,54,52,5,0,12416,0,158020.62,168,40095.22,299,312291.02,8624,15150,16365,,Morristown,NJ,7960,NJM 2016 Bike MS: Country Challenge,25928
2014,22446,NMX Bike Events,"Bike MS: Pedal los Pueblos 2014, presented by Sam's Club",7/23/2013 9:05,9/6/2014 10:03,215000,382,0,7727,209773.85,162774.92,35,37,9,4,14963,35,46998.93,209,40498.87,173,173945.98,525,3368.66,3641,10-B Cities of Gold Road,Santa Fe,NM,87506,"New Mexico, Pojoaque - Bike MS 2014",21277
2013,21277,NMX Bike Events,Bike MS: New Mexico Pedal los Pueblos 2013,12/17/2012 12:50,8/24/2013 15:03,200000,335,9,5724,189041.39,142859.25,32,36,9,3,6278,22,46182.14,191,41121.49,153,149884.9,647.94,279.51,1965,10-B Cities of Gold Road,Santa Fe,NM,87506,"New Mexico, Pojoaque - Bike MS: New Mexico Pedal los Pueblos 2013",17818
2015,27008,NMX Bike Events,WRW,9/1/2015 14:23,8/29/2015 5:52,218000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-B Cities of Gold Road,Pojoaque,NM,87501,WRW,22446
2016,27735,NMX Bike Events,Bike MS: Pedal los Pueblos 2016,11/16/2015 12:57,8/27/2016 10:20,240000,276,0,5770,176368.54,145370.58,27,30,8,5,9780,45,30997.96,167,49178.73,109,141720.54,2755.75,13931.09,14075.73,30 Buffalo Thunder Trail,Santa Fe,NM,87506,TXH 2016 Bike MS: Pojoaque,25647
2015,25647,NMX Bike Events,Bike MS: Pedal los Pueblos 2015,10/31/2014 15:36,8/29/2015 8:04,218000,339,2,7385,206949.87,156383.44,33,38,8,5,10425,20,50566.43,193,43269.5,148,174152.37,5305.3,14220.06,9472,10-B Cities of Gold Road,Pojoaque,NM,87501,"TXH New Mexico, Pojoaque - Bike MS 2015",22446
2013,22336,NVL Bike Events,"NVL, Vegas - Bike MS: Vegas Challenge Volunteer 2013",6/21/2013 14:45,11/9/2013 8:38,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001 Greystoke Acres St,Las Vegas,NV,89106,"NVL, Vegas - Bike MS: Vegas Challenge Volunteer 2013",0
2013,21456,NVL Bike Events,"Nevada, Las Vegas - Bike MS: Vegas Challenge 2013",1/25/2013 17:53,11/9/2013 9:11,200000,342,9,4807.57,123923.44,81328.67,42,45,5,6,4060,38,42594.77,112,19656.76,239,104591.68,4178,19089.76,325,888 West Bonneville,Las Vegas,NV,89106,"NVL, Vegas - Bike MS: Vegas Challenge 2013",18743
2016,27084,NYH Bike Events,Bike MS: East End Ride 2016,9/28/2015 15:02,9/10/2016 8:21,125000,300,6,7320.14,109980,87170,32,32,4,7,3389,20,22810,109,15798,197,94242,4938,100,0,605 County Rd 39,Southampton,NY,11968,NYH 2016 Bike MS: East End Ride,25672
2013,21009,NYH Bike Events,Bike MS: East End Ride 2013,11/14/2012 11:17,9/15/2013 14:51,200000,368,5,8487.28,143356.68,108186,38,40,5,10,7876,16,35170.68,130,19389.52,243,124842.16,12996,2455,470,605 County Road 39,Southampton,NY,11968,NYH Bike MS 2013 East End Ride,18014
2015,25657,NYH Bike Events,Bike MS: Traffic Free Ride 2015,11/3/2014 8:30,6/7/2015 14:36,25000,77,0,1245,12831,9201,8,8,5,0,674,0,3630,28,2280,49,10926,455,25,375,,Bethpage,NY,11714,NYH 2015 Bike MS: Traffic Free Ride,22969
2013,21417,NYH Bike Events,NYH - 2013 MS Great 8 Tour Du Lac,1/18/2013 11:29,8/4/2013 16:08,200000,2,0,0,9100,9100,1,1,2,0,2,1,0,1,6965,1,2135,0,0,0,,,None,,NYH - 2013 MS Great 8 Tour Du Lac,0
2015,25672,NYH Bike Events,Bike MS: East End Ride 2015,11/3/2014 13:49,9/12/2015 10:29,176000,283,0,8082.5,123344.03,90940.03,28,29,6,4,8601,13,32404,95,14205,188,111049.03,2981,321,1860,605 County Road 39,Southampton,NY,11968,"NYH Southampton, New York- Bike MS 2015",22971
2014,23835,NYH Bike Events,NYH - 2014 MS Great 8 - Beach to Beach Tour,12/19/2013 15:38,10/6/2014 10:39,200000,2,0,0,2055,1955,1,1,2,0,9,1,100,1,100,1,1955,0,0,0,,,None,,NYH - 2014 MS Great 8 - Beach to Beach Tour,21417
2013,20366,NYH Bike Events,NYH Bike MS 2013,10/2/2012 11:20,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,NY,,NYH Bike MS 2013,0
2014,21913,NYH Bike Events,NYH Bike MS 2014,4/10/2013 12:16,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NYH Bike MS 2014,0
2015,26356,NYH Bike Events,Blackbaud Test 05/05/2015,5/5/2015 10:52,6/7/2015 8:31,25000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,Bethpage,NY,11714,Blackbaud Test 05/05/2015,22969
2014,22971,NYH Bike Events,Bike MS: East End Ride 2014,9/24/2013 9:00,9/7/2014 13:04,200000,362,13,10961.76,142590.45,105658.77,44,45,4,8,9769,22,36931.68,145,18480,230,124725.45,9491,4103.42,360,605 County Road 39,Southampton,NY,11968,"Southampton, New York- Bike MS 2014",21009
2017,28920,NYH Bike Events,Bike MS: Traffic Free Ride 2017,11/17/2016 6:05,6/4/2017 11:15,40000,63,2,1085.52,23860.32,17614,12,12,3,0,4411,0,6246.32,33,2850,32,21010.32,50,1350,0,99 Quaker Meeting House Road,Farmingdale,NY,11735,NYH 2017 Bike MS: Traffic Free Ride,27062
2014,21772,NYH Bike Events,NYH Bike MS 2014,4/1/2013 8:09,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NYH Bike MS 2014 OLD,0
2013,21016,NYH Bike Events,Bike MS: Traffic Free Ride 2013,11/14/2012 13:53,6/9/2013 14:52,20000,77,3,930,8206,5386,14,14,3,1,352,3,2820,28,1830,52,6476,668,0,100,,Bethpage,NY,11714,Bike MS: Traffic Free Ride 2013,18276
2014,22969,NYH Bike Events,Bike MS: Traffic Free Ride 2014,9/24/2013 8:59,6/1/2014 11:51,20000,80,0,1422.5,22428,11020,14,14,3,2,95,1,11408,44,4479,36,18024,770,100,75,,Bethpage,NY,11714,"Bethpage, New York- Bike MS 2014",21016
2016,27062,NYH Bike Events,Bike MS: Traffic Free Ride 2016 ,9/18/2015 14:19,6/5/2016 8:52,10000,49,1,625,5891,3959,9,9,2,0,132,0,1932,11,525,39,5591,285,0,0,99 Quaker Meeting House Road,Farmingdale,NY,11735,NYH 2016 Bike MS: Traffic Free Ride,25657
2013,21419,NYN Bike Events,NYN - 2013 MS Great 8 Tour Du Lac,1/18/2013 11:34,8/4/2013 16:08,200000,4,0,0,19673,17919,1,1,4,0,0,1,1754,3,7150,1,12773,0,0,250,,,None,,NYN - 2013 MS Great 8 Tour Du Lac,0
2015,23928,NYN Bike Events,Bike MS: New York City 2014,1/14/2014 9:10,10/5/2014 15:15,3000000,4423,51,147142.26,2656103.01,2015121.73,413,473,7,15,89708,119,640981.28,2460,429062.73,2014,2253861.78,147745.97,11815,23271.5,"Pier 92/94 - 711 12th Avenue, New York, NY 10019",New York City,NY,10019,NYN 2014 Bike MS New York City,21176
2013,18354,NYN Bike Events,2012 Bike MS New York City,10/28/2011 13:43,10/21/2012 15:13,3000000,5134,71,214257.32,2651153.84,2035220.36,440,510,8,29,97661,132,615933.48,2970,426215.84,2235,2272857.5,1261,10092.25,47549.5,,Manhattan,NY,10038,NYN 2012 Bike MS New York City,16987
2016,26036,NYN Bike Events,Bike MS: New York City 2015,1/16/2015 8:50,10/4/2015 12:20,3000000,3767,52,115656.67,2341041.68,1766731.94,367,434,7,14,97449,144,574309.74,1915,373707.89,1904,1999784.79,88089,17040.29,31906,"711 12th Avenue, New York, NY 10019",New York,NY,10019,NYN 2015 Bike MS: New York City,23928
2017,27764,NYN Bike Events,Bike MS: New York City 2016,11/30/2015 17:26,10/23/2016 15:29,2500000,4166,82,144931.6,2553410.11,1992331.07,410,470,7,0,125951,0,561079.04,2363,560123.75,1885,2208090.86,102717,146938.39,172087,,New York City,NY,10019,NYN 2016 Bike MS: NYC,26036
2015,21914,NYN Bike Events,Bike MS: New York City 2014,4/10/2013 12:16,10/5/2014 14:48,2635500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,New York City,NY,10019,NYN Bike MS 2014,0
2014,21176,NYN Bike Events,Bike MS: New York City 2013,12/5/2012 13:04,10/6/2013 17:53,2750000,5206,52,175496.49,2878585.32,2188479.09,461,514,7,20,94728,155,690106.23,2840,424241.87,2418,2484714.46,59991,3008.63,29828.01,,New York City,NY,10019,NYN 2013 Bike MS New York City,18354
2014,20367,NYN Bike Events,Bike MS: New York City 2013,10/2/2012 11:20,10/6/2013 12:24,2635500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,New York City,NY,10019,NYN Bike MS 2013,18354
2014,23836,NYN Bike Events,NYN - 2014 MS Great 8 - Beach to Beach Tour,12/19/2013 15:39,10/6/2014 10:39,200000,3,0,0,6936,4650,1,1,3,0,1,1,2286,1,1010,2,5926,0,500,0,,,None,,NYN - 2014 MS Great 8 - Beach to Beach Tour,21419
2014,21773,NYN Bike Events,NYN Bike MS 2014,4/1/2013 8:09,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NYN Bike MS 2014 OLD,0
2017,28936,NYR Bike Events,Bike MS: Finger Lakes Challenge 2017,11/29/2016 8:34,7/8/2017 12:12,100000,150,5,1611,48800.2,34425.66,16,16,4,3,2669,15,14374.54,58,13982.5,97,43197.7,105,5028,7240,300 Pulteney St,Geneva,NY,14456,NYR 2017 Bike MS: Finger Lakes Challenge,27715
2017,28958,NYR Bike Events,Bike MS: Hudson River Ramble 2017,12/9/2016 12:44,9/16/2017 16:02,100000,81,4,831,49903.5,33780.5,17,17,2,2,671,6,16123,37,6107.5,48,46501,0,220,1070,1 Hailes Cave Rd.,Voorheesville,NY,12186,NYR 2017 Bike MS: Hudson River Ramble,27719
2014,23627,NYR Bike Events,Bike MS: Finger Lakes Challenge 2014,11/13/2013 11:11,7/19/2014 14:57,100000,245,0,6505.2,123711.48,90289.83,27,27,6,0,5007,10,33421.65,123,23337.36,122,103788.12,3115,443,3059,141 Central Ave,Keuka Park ,NY,14478,"New York, Keuka Park - Bike MS 2014",21111
2017,28951,NYR Bike Events,Bike MS: Buffalo's Great Lake Escape 2017,12/5/2016 11:21,8/5/2017 10:59,100000,211,2,2393.5,66421.49,55077,30,28,4,5,1134,17,11344.49,99,24363,114,53318.49,1120.08,10475,10395,10191 Old Lake Shore Rd,Irving,NY,14081,NYR 2017 Bike MS: Buffalo's Great Lake Escape,27718
2014,23738,NYR Bike Events,Bike MS: ROC the Ride 2014,11/21/2013 14:58,9/7/2014 11:24,80000,220,4,3204.73,58333.37,43294.31,30,32,3,2,3488,11,15039.06,79,9236.5,145,53907.87,2340,88,3506,133 Elmwood Ave,Rochester,NY,14611,"New York, Rochester - Bike MS 2014",0
2015,25868,NYR Bike Events,NYR 2015 Bike MS: Finger Lakes Challenge,11/24/2014 13:12,7/18/2015 13:16,134500,167,0,4953,74328.66,55483.15,21,21,5,2,4283,10,18845.51,81,13100,86,63697.66,728,270,1162,141 Central Ave.,Keuka Park,NY,14478,NYR 2015 Bike MS: Finger Lakes Challenge,23627
2013,21111,NYR Bike Events,2013 Finger Lakes Challenge ,11/29/2012 9:43,7/20/2013 8:35,151500,278,3,6151.56,128527.27,78994.66,30,32,6,1,3712,16,49532.61,120,23159.51,161,112894.76,5880,110,6537,,Keuka Park ,NY,14478,"New York, Keuka Park - Bike MS Finger Lakes 2013",18092
2015,25872,NYR Bike Events,Bike MS: ROC the Ride 2015,11/25/2014 10:00,9/12/2015 14:14,65000,307,1,3410,81065.59,55233.59,33,34,5,2,2488,11,25832,101,16922.2,207,65517.39,3102.39,175,1354,1000 E. River Rd.,Rochester,NY,14623,NYR 2015 Bike MS: ROC the Ride,23738
2016,27719,NYR Bike Events,Bike MS: Hudson River Ramble 2016,11/12/2015 8:20,9/17/2016 11:25,125000,126,2,2090,80578.48,55637.77,21,22,3,0,1283,0,24940.71,67,11779,61,70639.7,1145,140,922.22,1 Celebration Way ,Schodack,NY,12033,NYR 2016 Bike MS: Hudson River Ramble,25871
2014,21915,NYR Bike Events,NYR Bike MS 2014,4/10/2013 12:16,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NYR Bike MS 2014,0
2014,21774,NYR Bike Events,NYR Bike MS 2014,4/1/2013 8:09,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NYR Bike MS 2014 OLD,0
2014,23847,NYR Bike Events,t,12/24/2013 9:32,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,t,0
2013,20368,NYR Bike Events,NYR Bike MS 2013,10/2/2012 11:20,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,NY,,NYR Bike MS 2013,0
