Internal Event Name,Event ID,Team Division,Company,Number of Participants,Total Fees Paid,Team Total Confirmed ($),Total Online Gifts($),Total Offline Confirmed Gifts($),Total Offline Unconfirmed Gifts($),Team Goal($),Total Confirmed Gifts in Team History($),Previous Event Fiscal Year,Previous Event Confirmed Gifts($),Previous Event Team Members,Fiscal Year
NYN 2016 Bike MS: NYC,27764,Corporate,Barclays,60,1577.34,131707,35306,96401,170,150000,365529.67,2016,147136.67,65,2017
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Katz's Deli,26,2530,131464.58,101265,30199.58,4800,125000,281227.08,2015,95990.38,24,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,FMC Technologies,122,12000,130817.45,93937.07,36880.38,630,165000,130817.45,,0,0,2013
UTU 2015 Bike MS: Harmon's Best Dam Bike Ride,24736,Corporate,,177,2500,130591.93,45659.41,84932.52,1085,120000,445510.01,2014,119137.57,174,2015
NYN 2014 Bike MS New York City,23928,Corporate,Barclays,48,1419.32,130466.64,36433.26,94033.38,0,150000,130466.64,,0,0,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Texas Children's Hospital,166,13845,130167,117183,12984,400,175000,531085.52,2016,171684.73,185,2017
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,,195,5835,129896.14,122545.14,7351,625,100000,129896.14,,0,0,2014
MNM 2017 Bike MS: MS 150 Ride,28105,Corporate,,185,5828,129103.62,109879.69,19223.93,1415,200000,129138.62,,0,0,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Urban Bicycle Gallery,76,7600,128679.84,87397.73,41282.11,0,70000,128679.84,,0,0,2013
Massachusetts - Bike MS: Cape Cod Getaway 2014,22298,Corporate,EMD Serono/Pfizer,125,7100,128325.31,96859.02,31466.29,1827.5,100000,128325.31,,0,0,2014
WAS 2013 Bike MS - Washington,21128,Corporate,BP,87,2245,128315,70912,57403,2671,100000,128315,2012,154559.09,83,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Southwestern Energy Company,52,5200,127899.46,89182.71,38716.75,250,120000,127899.46,,0,0,2013
FLN 2015 Bike MS: PGA TOUR Cycle to the Shore,25681,Corporate,CSX,181,4200,127215.8,57131.85,70083.95,4993.8,125000,237004.24,2014,109233.77,199,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,MRE Consulting,62,6200,127107.27,107452.27,19655,450,120000,127107.27,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Baker Hughes,104,10400,126956.93,84597.73,42359.2,815,125000,126956.93,,0,0,2013
COC 2015 Bike MS: Colorado,25572,Corporate,TEAM JM,121,1612.1,125921.34,86028,39893.34,1030,75000,333511.85,,0,0,2015
MNM 2016 Bike MS: MS 150 Ride,27006,Corporate,,180,4027.5,125689.26,101163.99,24525.27,600,200000,125689.26,,0,0,2016
NYN 2013 Bike MS New York City,21176,Corporate,,61,1973.8,125666.2,35416.2,90250,190,150000,125666.2,,0,0,2014
Massachusetts - Bike MS: Cape Cod Getaway 2013,19418,Corporation,EMD Serono/Pfizer,150,7945,125607.54,103727.32,21880.22,1314.5,100000,125607.54,,0,0,2013
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Greystar,46,4810,124855,111130,13725,0,150000,273589.83,2016,82488,29,2017
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,KSBJ Radio 89.3,149,14180,124621.51,98825.51,25796,300,150000,346094.98,,0,0,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Gardere Wynne Sewell LLP,64,5975,124563.16,101313.16,23250,5300,130000,427077.98,2016,142862.69,55,2017
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Marathon Oil,78,7770,124370.52,84364.41,40006.11,200,125000,334831.72,,0,0,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,PricewaterhouseCoopers LLP,103,11010,123601.76,92994.51,30607.25,0,120000,324032.04,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Cameron International,91,9390,123171.67,98827.67,24344,1600,100000,123171.67,,0,0,2014
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,48,4800,122799.97,74588.84,48211.13,0,110000,122799.97,,0,0,2013
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Baker Hughes Incorporated,79,7959.98,121828.43,91032.3,30796.13,2052,135000,562084.5,2015,221178.71,147,2016
TXH 2016 Bike MS: BP MS 150,27003,Corporate,PricewaterhouseCoopers,102,10409.98,121416.58,86646.02,34770.56,25,125000,324032.04,2015,123601.76,101,2016
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Urban Bicycle Gallery,81,8370,121217.28,83942.26,37275.02,125,100000,121217.28,,0,0,2014
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Dow Chemical,135,14160,121075.33,93490.24,27585.09,620,150000,327864.1,,0,0,2015
TXH 2016 Bike MS: BP MS 150,27003,Corporate,"Cheniere Energy, Inc.",114,12080,120856.58,94280,26576.58,175,140000,405397.11,2015,70342.53,65,2016
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Karbach Brewing Co.,154,15450,120473.45,107276.79,13196.66,950,200000,481898.12,2014,165950,144,2015
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,31,3100,120340.45,42266.08,78074.37,0,100000,120340.45,2012,114139,36,2013
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Marathon Oil,53,4635,120232.93,71943,48289.93,400,130000,334831.72,2016,88368.27,44,2017
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,,90,8930,120232.15,78613.94,41618.21,555,100000,328941.85,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Memorial Hermann,202,20440,119688.42,99756.6,19931.82,150,100000,119688.42,,0,0,2014
WAS 2015 Bike MS: Deception Pass Classic,25436,Corporate,TEAM BP,69,2943.75,119677,99922,19755,860,100000,235285.01,2014,90163.88,58,2015
CAS Bike MS 2015,26037,Corporate,Disney Bike Team,113,3580,119311.9,70445.42,48866.48,270,150000,332289.88,,0,0,2016
"Utah, Logan - Bike MS: 2014",22337,Corporate,,176,2772.18,119137.57,46127.55,73010.02,524.79,0,119137.57,2013,117298.59,194,2014
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Wood Group,100,9900,118942.95,104343.57,14599.38,25,100000,118942.95,,0,0,2013
CAS Bike MS 2013 - San Diego,21507,Corporate,Disney Bike Team,115,5069.96,118328.13,72872.24,45455.89,1080,150000,118328.13,,0,0,2014
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Occidental Petroleum Corporation,79,7520,117846.05,60251.42,57594.63,460,125000,396339.23,2015,108130.19,80,2016
"Utah, Logan - Bike MS 2013 - Harmons Best Dam Bike Ride",19245,Corporation,Team Harmons,196,2786.14,117298.59,42815.35,74483.24,1520,0,117298.59,2012,88263.69,169,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Houston Methodist,201,20210,117269.71,106832.27,10437.44,1225,100000,398825.35,,0,0,2015
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Halliburton,92,9200,115735.61,89627.88,26107.73,0,120000,115735.61,,0,0,2013
WAS 2016 Bike MS: Deception Pass Classic,27170,Corporate,F5 Networks Inc,67,2236.5,115608.01,101633.01,13975,1415,100000,235285.01,2015,119677,67,2016
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Diamond Offshore Drilling,27,2630,113936.92,97584.92,16352,0,90000,269005.64,,0,0,2015
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Cameron International,95,9300,113117.95,90691.95,22426,2500,100000,113117.95,,0,0,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Norton Rose Fulbright,72,6820,112893.45,94456,18437.45,100,100000,267612.03,,0,0,2015
NYN 2013 Bike MS New York City,21176,Corporate,,87,85,112468.5,70093,42375.5,3229,75000,112468.5,,0,0,2014
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Hess Corporation,94,9400,112360.61,101703.48,10657.13,100,165000,112360.61,,0,0,2013
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Fugro,66,6930,112076.46,89325.57,22750.89,500,184000,297433.05,2015,183021.59,92,2016
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,50,5050,111977.06,44338.47,67638.59,50,100000,111977.06,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Hess Corporation,106,10860,111949.89,102559.72,9390.17,450,150000,111949.89,,0,0,2014
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Memorial Hermann,176,18250,111490.44,99972,11518.44,0,160000,259391.91,,0,0,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Oceaneering,60,5825,111481.27,78211.75,33269.52,0,100000,360932.35,2016,75160.45,33,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Mattress Firm,153,15000,111163.03,100404.56,10758.47,25,100000,111163.03,,0,0,2013
TXH 2016 Bike MS: BP MS 150,27003,Corporate,HESS Corporation,89,8890,111137.58,104450,6687.58,150,150000,401189.1,2015,197298.52,104,2016
MOS 2017 Bike MS: Gateway Getaway Ride,28272,Corporate,,43,1300,110894,32507,78387,30,0,191281,2016,80387,50,2017
GAA- Bike MS 2014,23662,Corporate,,121,966,110594.58,75509.52,35085.06,150,150000,110594.58,,0,0,2014
"Texas, Houston - 2013 BP MS 150",20226,Corporate,EOG Resources,45,4500,110583,40313.98,70269.02,360,88000,110583,,0,0,2013
CAN 2014 Bike MS: Waves to Wine Ride,22900,Corporate,,37,1550,110526.3,105829,4697.3,805,107500,110526.3,,0,0,2014
NYN 2012 Bike MS New York City,18354,Corporation,JP Morgan Chase,151,8360,110506.18,98438.18,12068,1250,200000,110506.18,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Phillips 66,56,5600,110321.62,75843.18,34478.44,475,200000,110321.62,,0,0,2013
TXH 2016 Bike MS: BP MS 150,27003,Corporate,KSBJ Radio 89.3,120,11880,110094.42,88331.64,21762.78,0,200000,346094.98,2015,124621.51,142,2016
FLN 2016 Bike MS: PGA TOUR Cycle to the Shore,27711,Corporate,,110,3379,109804.16,88899.7,20904.46,390,100000,284252.13,2016,66931.47,74,2017
"Florida, Ponte Vedra - Bike MS: PGA TOUR Cycle to the Shore 2014",22906,Corporate,CSX,221,6350,109233.77,55263.45,53970.32,2057,100000,109233.77,2013,87500.36,120,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Halliburton,107,11080,108921.46,88278.54,20642.92,200,120000,108921.46,,0,0,2014
WAS 2015 Bike MS: Deception Pass Classic,25436,Corporate,Microsoft,107,5265,108574.31,64645,43929.31,4758.32,100000,291384.45,,0,0,2015
NYN 2013 Bike MS New York City,21176,Corporate,,135,6546.56,108284.4,95550.4,12734,411,200000,108284.4,,0,0,2014
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Occidental Petroleum Corporation,80,8020,108130.19,66518.01,41612.18,0,100000,396339.23,,0,0,2015
CAS Bike MS 2014,23956,Corporate,Walt Disney Company Bike Team,146,4330,108052.76,74957.65,33095.11,16728,150000,108052.76,,0,0,2015
TNS 2015 Bike MS: Jack and Back,25575,Corporate,,25,150,108032.57,46083.32,61949.25,320,100000,317643.57,,0,0,2016
CAL 2015 Bike MS Coastal Challenge: Santa Monica to Santa Barbara,25958,Corporate,,56,863.28,107999.01,45736.01,62263,0,100001,126497.19,,0,0,2016
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,56,5630,107736,100981,6755,0,125000,107736,,0,0,2014
COC 2017 Bike MS Colorado,28914,Corporate,TEAM JM,115,0,107369.01,84062.01,23307,350,0,333511.85,2016,100221.5,107,2017
TXH 2017 Bike MS: BP MS 150,28263,Corporate,NRG,78,7660,106670.15,74266.4,32403.75,0,120000,328941.85,2016,101694.55,76,2017
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Direct Energy,54,5230,106583.99,71708.42,34875.57,2315,150000,298014.32,2015,133653.48,71,2016
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,37,3910,106390.01,94900.01,11490,250,100000,106390.01,,0,0,2014
NYN 2012 Bike MS New York City,18354,Corporation,,142,5624.84,105895,84104,21791,2419,175000,105895,,0,0,2013
WAS 2017 Bike MS: Deception Pass Classic,28273,Corporate,,73,2341,105882,89901,15981,985,120000,106237,,0,0,2017
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,HP,106,10240,105785.46,72035.14,33750.32,0,100000,236303.18,,0,0,2015
Colorado - Bike MS 2013,20901,Corporate,,73,3959,105764.54,57886.63,47877.91,2240,100000,105764.54,,0,0,2013
CAS Bike MS 2012,18684,Corporation,Disneyland Resort,124,5800,105497,62431.93,43065.07,7836.09,150000,105497,,0,0,2013
FLS 2015 Bike MS: Breakaway to Key Largo,24696,Corporate,Bacardi,159,3980,105200,86672,18528,130,75000,105200,2014,70157.4,125,2015
TXH 2016 Bike MS: BP MS 150,27003,Corporate,,76,7830,104054.15,82169.15,21885,100,100000,319736.69,2015,140890.24,91,2016
WAS 2014 Bike MS - Washington,23318,Corporate,Point B,91,4104.44,103971.49,85254.18,18717.31,0,125000,103971.49,,0,0,2014
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Team Wood Group,99,10150,103071.45,88869,14202.45,150,150000,258852.75,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Team Houston Methodist,196,20020,103047.03,85324.5,17722.53,450,80000,103047.03,,0,0,2014
TXH 2017 Bike MS: BP MS 150,28263,Corporate,,125,11145,103044.05,83671.5,19372.55,500,200000,346094.98,2016,110094.42,120,2017
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,FMC Technologies,102,10670,102972.86,79697.39,23275.47,400,120000,165630.41,,0,0,2015
FLS 2017 Bike MS: Breakaway to Key Largo,28099,Corporate,BACARDI,131,3660,102746,88460,14286,245,100000,276756.07,2016,169010.07,163,2017
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Norton Rose Fulbright,65,6520,102153.58,72442,29711.58,0,100000,267612.03,2015,112893.45,62,2016
MOS 2017 Bike MS: Gateway Getaway Ride,28272,Corporate,,125,4275,101880,56038.75,45841.25,100,75000,220527.06,2016,87818.06,128,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,OXY,62,5700,101859.02,61154.57,40704.45,100,90000,101859.02,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,KSBJ Radio,138,13800,101770.8,72331.55,29439.25,0,100000,101770.8,,0,0,2013
TXH 2016 Bike MS: BP MS 150,27003,Corporate,NRG,77,7489.98,101694.55,65196.95,36497.6,0,120000,328941.85,2015,120232.15,85,2016
WAS 2013 Bike MS - Washington,21128,Corporate,Concur,6,0,101675,91610,10065,0,95000,101675,,0,0,2013
FLS 2013 Bike MS: Breakaway to Key Largo,19654,Corporation,,185,2350,101236.83,62576.63,38660.2,0,100000,101236.83,,0,0,2013
TNS 2013 Bike to Jack and Back,20496,Corporation,,27,1020,101130.99,56893.99,44237,340,100000,101130.99,,0,0,2014
TXH 2016 Bike MS: San Antonio,27923,Corporate,Valero Energy Corporation,87,2357.5,101104.99,75677.31,25427.68,295,150000,373974.22,2016,138370.23,86,2017
COC 2016 Bike MS: Colorado,27037,Corporate,TEAM JM,107,890.5,100221.5,81127.5,19094,340,0,333511.85,2015,125921.34,118,2016
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Houston Methodist,186,17680,100048.59,89892.36,10156.23,670,125000,398825.35,2016,175830.05,294,2017
Colorado - Bike MS 2014,22980,Corporate,Hyatt,112,5554.8,100002.27,68653.27,31349,1225,100000,100002.27,,0,0,2014
CAS 2016 Bike MS: Bay to Bay,27876,Corporate,Disney Bike Team,85,2920,99518.75,58820,40698.75,6730,150000,332289.88,2016,119311.9,112,2017
WAS 2014 Bike MS - Washington,23318,Corporate,,137,4590,99228.17,71597.52,27630.65,0,100000,99228.17,,0,0,2014
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Phillips 66,47,4480,98880.06,75081.73,23798.33,4568.32,35000,332874.38,2016,93109.12,37,2017
Colorado - Bike MS 2014,22980,Corporate,WPX Energy Rig Riders,82,4334.9,98464.85,54170.04,44294.81,540,90000,98464.85,2013,105764.54,73,2014
MAM 2016 Bike MS: Cape Cod Getaway,27048,Corporate,Buildium LLC,61,3660,98425.74,92590.74,5835,130,100000,190389.2,,0,0,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,57,5700,98423.5,73033.5,25390,0,90000,98423.5,,0,0,2013
"TXH Texas, Dallas - Bike MS 2015",24768,Corporate,TXU Energy,95,2390,98380.43,78264.18,20116.25,430,80000,257375.77,2014,70440.6,75,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Deloitte,104,11080,97290.15,94160.15,3130,500,100000,261055.23,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,STATOIL,99,10170,96853.78,80521.68,16332.1,300,230000,96853.78,2013,95313.03,93,2014
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Cameron,64,6500,96841,79121,17720,400,100000,193587.84,2015,96746.84,79,2016
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Cameron,80,8060,96746.84,84295.02,12451.82,1150,85000,193587.84,,0,0,2015
KSG 2015 Bike MS: Kansas City Ride,25116,Corporate,Burns & McDonnell Bike Team,119,2560,96689,77815,18874,45,75000,254893,,0,0,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Katz's Deli,24,2550,95990.38,84041.25,11949.13,700,100000,281227.08,,0,0,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Team Susman Godfrey,10,1050,95602,90835,4767,0,100000,437631.35,2016,83989,17,2017
WAS 2017 Bike MS: Deception Pass Classic,28273,Corporate,Microsoft,120,4896.5,95528.11,50857.51,44670.6,1240,110000,291384.45,2016,87015.23,109,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,NRG Energy,97,9600,95313.03,61914,33399.03,2307,100000,95313.03,,0,0,2013
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Dow Chemical,95,8725,95195.72,71283.72,23912,0,100000,327864.1,2016,91988.05,95,2017
GAA Bike MS 2015,24767,Corporate,Shepherd Center,87,1310.52,95176.26,72681.26,22495,875,70000,95176.26,,0,0,2015
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Diamond Offshore Drilling,42,4100,95066.2,74287,20779.2,440,90000,95066.2,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Noble Drilling Services Inc.,34,3400,95002.02,34289.54,60712.48,1400,45000,95002.02,,0,0,2013
WIG 2016 Bike MS: Wisconsin - USE,27039,Corporate,Sonic Foundry,128,3350,94966.22,53846.99,41119.23,140,200000,177148.22,,0,0,2016
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Southwestern Energy,46,200,94887.24,70419.72,24467.52,4494.26,125000,206594.24,,0,0,2015
GAA Bike MS 2016,27759,Corporate,,84,257.5,94518.5,66557,27961.5,1215,85000,251979.45,2015,74426.9,97,2017
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Wells Fargo,55,5540,94265.92,74343.14,19922.78,200,45000,94265.92,,0,0,2014
TXH 2016 Bike MS: BP MS 150,27003,Corporate,"EOG RESOURCES, INC.",29,2799.99,94067,31396,62671,650,150000,337765,2015,152570.6,48,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,19,1900,93915,55804,38111,175,100000,93915,,0,0,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,,121,12420,93218.06,84209.36,9008.7,245,100000,93718.06,,0,0,2015
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Phillips 66,37,3770,93109.12,65449.12,27660,2415,35000,332874.38,2015,139745.2,74,2016
"TXH Texas, San Antonio - Bike MS 2015",26136,Corporate,eog resources,67,1890,93055,35918.49,57136.51,50,75000,306596.34,,0,0,2016
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Wells Fargo,51,5150,92445,85370,7075,100,50000,190797.98,,0,0,2015
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Deloitte,107,10700,92046.67,86477.28,5569.39,0,100000,92046.67,,0,0,2013
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Dow Chemical,97,9770,91988.05,67082.3,24905.75,0,100000,327864.1,2015,121075.33,129,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,90,8800,91518.85,69750.39,21768.46,0,108000,91518.85,,0,0,2013
TXH 2016 Bike MS: San Antonio,27923,Corporate,Left Hand Brewery,59,1625,91473.6,59245.44,32228.16,20,60000,190835.42,,0,0,2017
"Florida, Ponte Vedra - Bike MS: PGA TOUR Cycle to the Shore 2014",22906,Corporate,PGA TOUR,108,3505,91417.95,66833.55,24584.4,1455,80000,91417.95,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,Teva Neurosciences,155,3835,91298.68,58576.5,32722.18,470,90000,91298.68,2013,69965.57,137,2014
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Halliburton,80,8300,91165.64,67995,23170.64,50,100000,135020.49,,0,0,2015
MAM 2017 Bike MS: Cape Cod Getaway,28124,Corporate,Buildium LLC,60,3520,91149.46,87084.46,4065,115,100000,190389.2,2016,98425.74,58,2017
TXH 2017 Bike MS: BP MS 150,28263,Corporate,"EOG RESOURCES, INC.",32,2740,91027.4,32693.7,58333.7,300,100000,337765,2016,94067,25,2017
WAS 2014 Bike MS - Washington,23318,Corporate,BP,67,3077.22,90163.88,73639.38,16524.5,425,100000,90163.88,2013,128315,85,2014
Bike MS: Breakaway to the Beach 2013,20796,Corporate,Bank of America,57,1670,90092,63442.5,26649.5,1715,100000,90092,,0,0,2013
NYN 2015 Bike MS: New York City,26036,Corporate,JP Morgan Chase,122,4977.96,90081.5,83937.5,6144,2075,100000,195621.86,,0,0,2016
TXH 2017 Bike MS: BP MS 150,28263,Corporate,HESS Corporation,63,5730,89895,58247,31648,250,150000,401189.1,2016,111137.58,89,2017
TXH 2016 Bike MS: San Antonio,27923,Corporate,eog resources,72,1605,89477.96,34679.56,54798.4,67,75000,306596.34,2016,93055,62,2017
CAS 2016 Bike MS: Bay to Bay,27876,Corporate,KPMG Bike Team,89,1750,88994.91,69529.87,19465.04,156,100000,232317.7,2016,59366.79,56,2017
WAS 2013 Bike MS - Washington,21128,Corporate,Microsoft,112,2732.5,88955.14,48839,40116.14,762,100000,88955.14,2012,116565.03,96,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,NRG Energy,88,9190,88740.04,59212.35,29527.69,795,75000,88740.04,,0,0,2014
